SEMESTER,COURSE,COURSE TITLE,DESCRIPTION,SECTION,REQUIRED_SECTION,UNITS,DAY,BEGIN TIME,END TIME,BUILDING,ROOM,INSTRUCTORS,LOCATION,TEACHING MODALITY,MAX ENROLL,ACT ENROLL,WAITLIST SIZE,CONFIRM
,98205,Student Taught Courses (StuCo): Introduction to Minecraft (STUCO: MINECRAFT),"Minecraft is the single most sold video game of all time. It places you in a randomly generated world of blocks and sets you free to survive and be creative in a completely sandbox environment. This course will provide an in-depth introduction of how to play Minecraft, including basic to advanced survival skills, multiplayer aspects, modding, and whatnot. Along with playing survival Minecraft together on a class server, we will also play fun Minecraft minigames in class and explore possibilities such as playing on public servers. By the end of this class, students should know the basics about Minecraft and be able to survive in a Minecraft world, as well as expand their knowledge about Minecraft to depth within and out of the game. This class is designed for both players completely new to the game as well as those with plenty of experience looking to play Minecraft with some new friends. The game costs $27 and is required for the course.",A,,3 units,T,08:30PM,09:20PM,Wean Hall,5202,"Gong, Z (zhengzeg); Wu, B (bw1)",PIT,IPE,26,0,0,C
,98230,Student Taught Courses (StuCo): Avatar: The Last Airbender & The Legend of Korra (STUCO: AVATAR & KORR),"Explore the influences behind the shows Avatar: The Last Airbender and The Legend of Korra, such as Asian culture, concepts of balance, and multiple forms of martial arts. Each week we will watch an episode pertaining to a topic and then discuss different elements of the episode as well as give opinions. Some influential topics to be discussed are Asian government, martial arts, the concepts of balance and chi, in addition to discussions on character development and storyline.",A,,3 units,W,08:00PM,08:50PM,Wean Hall,5415,"Bhat, A (ananyab); McDougall, M (mmcdouga)",PIT,IPE,30,0,0,C
,98242,Student Taught Courses (StuCo): Introduction to Esoteric Programming Languages (STUCO: ESOLANGS),"How do you fix the following compilation error: ""PROGRAMMER IS INSUFFICIENTLY POLITE""?  How do you bake a cake while printing ""Hello world!""  Welcome to the wonderful world of esoteric programming languages, where everything is possible but nothing of interest is easy. Learn how to write a program that you can't see, compute factorials using Microsoft PowerPoint, and compile a painting.  Along the way, we'll answer questions like ""What is a programming language?"" and ""Why does my compiler have indigestion?"" Step into the realm of "">>[-]<<[->>+<<]"" and come explore the outer boundaries of relatively sane computation.",A,,3 units,W,07:00PM,07:50PM,Doherty Hall,2122,"Loungani, J (jloungan); Yoovidhya, P (piratacy); Vancura, T (tvancura)",PIT,IPE,25,0,0,C
,98244,Student Taught Courses (StuCo): Sign Language Through Pop Music (STUCO: SIGN LANGUAGE),"In this class, you will learn sign language to the rhythm of well-known music! Each class will cover a different topic, starting at fingerspelling and basic conversation and moving to signs for school and family topics. The history of sign language and deaf culture will be explored as well. Each week the assignment will be to learn the signs for the chorus of a song that uses words learned in class. The final project is to create a sign language music video or present a live choreography.",A,,3 units,M,07:00PM,08:20PM,Gates Hillman Center,4101,"Abraham, S (ssabraha); Dunn, S (sdunn)",PIT,IPE,20,0,0,C
,98262,Student Taught Courses (StuCo): Introduction to Boardgames (STUCO: BOARD GAMES),"This course will introduce students to the hobby of boardgames, nonstandard cardgames and miniature wargames. We will be playing a wide variety of game genres and investigating their mechanics, with the ultimate goal of expanding your knowledge of the wide varieties of games and understanding their mechanics enough to extend similar principles of play to games that use similar mechanics. What Kinds of Games will we be playing: Eurogames: Settlers of Catan, Carcassonne, Ticket to Ride, Stone Age, Puerto Rico, etc. Nonstandard Card Games: Fluxx, Pit, Race for the Galaxy, The Resistance, etc. Miniature Wargames (The games we will play are similar to): Warhammer (Fantasy/40K), Flames of War, Bolt-Action, Dystopian Wars, etc. Board wargames: Diplomacy, Axis and Allies, Battle Cry, etc.",A,,3 units,M,07:00PM,09:20PM,Wean Hall,5312,"Leemhuis, C (cleemhui); Liu, Y (yunsongl)",PIT,IPE,20,0,0,C
,98269,Student Taught Courses (StuCo): Intro to Sabermetrics & Exploring Baseball Data (STUCO: SABERMETRICS),"Born in the 1970s and popularized by Moneyball as a radical challenge to traditional baseball statistics, sabermetrics has developed into a new way of understanding Americas pastime. Its practitioners have created new statistical tools and revised our old ways of thinking about the game, transforming the way fans and front offices view and assess players. This introduction to the basics of sabermetrics will explain concepts including normalization, peak versus career performance, linear weights and runs created, as well as popular calculations like OPS (OnBase plus Slugging), WHIP (Walks and Hits per Inning Pitched), PF (Park Factor) and others increasingly used by members of the sabermetrics community.",A,,3 units,T,07:00PM,07:50PM,Porter Hall,125C,"Marshall Rodriguez, T (tmmarsha)",PIT,IPE,12,0,0,C
,98272,Student Taught Courses (StuCo): Financial Literacy for Beginners (STUCO: FINANCIAL LIT),"This course is an introductory class designed to provide an overview of basic financial literacy. Based on the national Moneythink curriculum taught to high school students, this course will break down ways for each student to think about their own spending habits and come up with ways to make better financial decisions. We will start off with basic knowledge about budgeting, banking, credit/debit cards, and go into some of the basic economics you should know when handling any money. This course will also integrate simple monetary biases that people have, and how to tackle and handle those situations. Students should be able to balance their finances and have a financial goal for the future by the end of this course.
- Learn basic knowledge about budgeting, banking, credit/debit cards
- Understand simple monetary biases that people have, and how to tackle and  handle those situations
- Ability to balance finances and have financial goals for the future",A,,3 units,M,07:00PM,07:50PM,Wean Hall,5409,"Shi, Y (yuxis); Khare, R (rjkhare); Mannem, A (amannem); Liang, C (clarissl)",PIT,IPE,50,0,0,C
,98288,Student Taught Courses (StuCo): Star Wars: The Course Awakens (STUCO: STAR WARS),"We will spend each class focusing on a specific topic in the Star Wars universe starting with plot discussion, clip viewing, fun facts, and opinions on each of the canon films. Then we will look more into the details of what makes Star Wars the worldwide pop culture phenomenon that it is by discussing other aspects of the franchise in the remaining classes.",A,,3 units,W,08:30PM,09:20PM,Wean Hall,5328,"Nasim, U (unasim); O'Donnell, A (aodonnel); OBroin, M (mobroin); Kolto, E (ekolto)",PIT,IPE,20,0,0,C
,98291,Student Taught Courses (StuCo): Android Development (STUCO: ANDROID DEV),"This course introduces the student to mobile development through Android. We will focus on the different components of an Android application, including view hierarchy and complex layout elements. Students will learn to navigate between different activities, interact with other devices, and use SDKs (Software Development Kits) such as Google Maps. We also hope to introduce the student to networking on Android applications through building a chat service. The student will also learn to use Firebase for data persistence in the Android development use case.",A,,3 units,R,07:00PM,07:50PM,Wean Hall,4709,"Agarwal, M (mehula); Corrodi, O (olc)",PIT,IPE,25,0,0,C
,98303,Student Taught Courses (StuCo): Introduction to Freestyle Rap (STUCO: FREESTYLE RAP),"Are you a fan of hip-hop who wants to learn how to create your own rhymes? Are you a quick-minded individual who enjoys a mental challenge? Have you ever heard a track and thought ""man, I wanna drop bars all over this beat""? Then this is the class for you. Freestyle rap is a difficult but rewarding mental exercise that, when mastered, is guaranteed to sound dope. This class will start from the basics and work up to more and more complicated techniques. We promise that anyone who completes this class will be able to spit Sway-in-the-Morning-level bars, anytime, anywhere. All skill levels are welcome!",A,,3 units,T,07:00PM,07:50PM,Porter Hall,A19,"Bardin, C (cbardin)",PIT,IPE,15,0,0,C
,98309,Student Taught Courses (StuCo): Build Your Own Startup (STUCO: TECH STARTUP),"This course follows a practical approach to learning about entrepreneurship. It focuses on startups centered around tech, in particular. Students are divided into teams within the class, who soon become their co-founders. Lectures cover interesting content related to entrepreneurship and tech such as product market fit, marketing strategies, financing a business, and wireframing. Every week is centered around one of these topics and students are expected to practically apply their understanding of those topics in their actual startup. Final grading is heavily focused on the student's pitch on his/her startup.",A,,3 units,W,07:00PM,07:50PM,Wean Hall,5302,"Raghuram, V (vivekrag); Liu, A (arleenl); Zheng, H (harveyz)",PIT,IPE,30,0,0,C
,98317,Student Taught Courses (StuCo): Hype for Types (STUCO: TYPE THEORY),"Type theory is a foundation of mathematics that can serve as an alternative to set theory. It is integral to programming languages, which rely on type systems to ensure code correctness. This course aims to go over fun and weird results in type theory that you might otherwise have to read complicated academic papers to understand, as well as to provide a foundation to help understand these fun results. We'll provide plain English explanations of concepts such as algebraic datatypes, derivatives of types, negative types, type isomorphisms, and the Curry-Howard correspondence. Some math and programming background (around the level of 15-150) is required, though a type theory background is not necessary.",A,,3 units,T,07:00PM,07:50PM,Gates Hillman Center,4301,"Gupta, A (aditig); Grodin, H (hgrodin); Cowan, A (acowan); Wu, B (bjwu)",PIT,IPE,25,0,0,C
,98331,Student Taught Courses (StuCo): Animation & Video Editing (STUCO: ANIMATION),"Ever watch a cartoon and wonder how its animated? Ever see a music video and think how they edited it? Wish you could do the same? In today's age, time-based mediums such as videos are becoming one of the most viewed mediums. In this course, we will cover studio standards for making videos and animations by merging classing animation techniques with professional video-editing techniques and software. Students will be exposed to Hand-Drawn Animation, Vector-Based Animation, Video Editing, Kinetic Typography & Motion Graphics. This course covers the entire creative process from storyboarding & animatics to editing & post-production with tools such as After Effects, Flash Professional, Illustrator & Photoshop. No animation or art experience required.",A,,3 units,R,07:00PM,07:50PM,College of Fine Arts,317,"Dadfar, O (odadfar)",PIT,IPE,15,0,0,C
,98335,Student Taught Courses (StuCo): Introduction to Glowstringing/Poi (STUCO: GLOWSTRINGING),"Often seen in raves and music festivals, glowstringing is the art of dancing with glowsticks or other luminescent objects on a string by swinging them in the air, hitting them against your body, and performing other tricks and manipulations. In this StuCo, you can expect to learn many of the fundamentals of glowstringing, along with a simple choreography that you can use to put on a show for friends, family, or strangers. 
Although this course is targeted towards beginners with no experience, people of all skill levels will have something to learn.
Class sessions are workshop-based but highly individualized. Everyone's learning pace is different and the pacing of the course will be adjusted based on overall learning speed of the class.",A,,3 units,W,08:00PM,08:50PM,Cohon University Center,ACTVY,"Wilson, R (rbwilson); Zhang, S (spzhang)",PIT,IPE,12,0,0,C
,98359,Student Taught Courses (StuCo): Survey of Horror in Media (STUCO: HORROR MEDIA),"This course aims to provide a brief introduction to the horror genre across multiple mediums. We will engage with works of horror from diverse sources(television, feature films, short stories, fine art, and music) created over a period of nearly 200 years with the goal of pinpointing the characteristics of effective horror media. The course will feature material that is violent and often disturbing by nature.",A,,3 units,T,07:00PM,07:50PM,Porter Hall,125C,"Xie, A (adabellx)",PIT,IPE,10,0,0,C
,98360,"Student Taught Courses (StuCo): Gödel, Escher, Bach: an Eternal Golden StuCo (STUCO:GEB)","What do mathematics, philosophy, and the arts have in common? This course will study the underlying themes and patterns of many seemingly-disparate fields, united by the idea of extracting meaning from meaninglessness, through the imposition of rules and self-reference. Students can expect to become familiar with ideas pertaining to the meaning of truth, the recognition of thinking on multiple different levels, and how recursive ideas can produce incredible results in many different contexts, even going so far as to provide a foundation for human intelligence itself. These ideas are all grounded in and taught from the book Gödel, Escher, Bach: an Eternal Golden Braid, the groundbreaking 1979 book published by professor Douglas Hofstadter that changed American intellectualism at its core. A background in logic, mathematics, or computer science can help with comprehension, but it is by no means required.",A,,3 units,T,07:00PM,08:20PM,Baker Hall,136E,"Wu, B (bjwu)",PIT,IPE,10,0,0,C
,98369,Student Taught Courses (StuCo): Brooklyn Nine-Nine (STUCO: BROOKLYN NINE),"Brooklyn Nine-Nine is a cop comedy that first aired in 2013 and is continuing to this day. This Emmy, Golden Globe, Critics Choice, and GLAAD Media award-winning show centers around Jake Peralta and the rest of the 99th precinct of the NYPD. Part of Brooklyn Nine-Nines success is due to their skill at balancing a comedic atmosphere while also addressing and discussing current social issues. In this class, you will learn about a social issue each week and then watch an episode that addresses said social issue. Some topics to be addressed include mental health, sexual harassment, racism, and LGBTQ+ representation. Anyone is free to join the noicest and toitest StuCo at CMU - no prior knowledge is required!",A,,3 units,M,08:00PM,08:50PM,Wean Hall,5304,"Patella, V (vpatella); Bhat, A (ananyab)",PIT,IPE,15,0,0,C
,98374,Student Taught Courses (StuCo): Steep by Steep: Investeagation into Tea Culture (STUCO: TEA CULTURE),"Not only is tea one of the most widely consumed beverages in the world, but many cultures have developed unique traditions surrounding it. In this course, students will be introduced to the rich history surrounding tea in various countries including but not limited to the US, China, Japan, Russia, and Morocco. Students will also become familiar with a wide variety of brewing methods and types of tea as well as get the opportunity to sample some of these teas. There will be very short quizzes before every lecture on prior material covered. COURSE FEE: $2 (subject to change).",A,,3 units,R,07:00PM,08:20PM,Wean Hall,5415,"Ivantechenko, M (mivantec); Kuo, R (rkuo1)",PIT,IPE,35,0,0,C
,98375,Student Taught Courses (StuCo): Introduction to Meta-Learning (STUCO: META-LEARNING),"This course is designed to better students studying and learning skills. Students, especially at elite colleges, have acquired extensive knowledge, yet many have never put adequate effort into considering the methods they use. This, of course, is counterintuitive because knowledge about how to learn is perhaps the most essential and widely applicable skill students can obtain. Successful learning is the foundation of excellence and discovery; therefore, students should be just as concerned with the process of improving as with the product of success. The first portion of the course will focus on scientifically-backed learning principles that are essential to problem solving such as the often-misinterpreted role of memory, recall, and attention. We will then transition into more specific learning strategies that apply these principles. Finally, the class will conclude with the role of lifestyle in learning and the habits of successful learners. By the end of the course students should be able to apply this knowledge at the university level, for personal projects, and beyond.",A,,3 units,W,07:00PM,07:50PM,Wean Hall,5421,"Gibson, S (sgibson); Potter, E (enzap)",PIT,IPE,30,0,0,C
,98377,Student Taught Courses (StuCo): The Way We Live Now (STUCO: WAYS WE LIVE),"This is a black-mirror-esque course that examines the relationship between personhood and digital technology in the context of the world right now. We will look at articles from tech insiders, contemporary writers, and professors of media to explore the question ""What does it mean to be human in our times?"" in a casual, open setting. The goal is to create a space where students can grow together in their awareness of themselves in the context of the physical-digital space we live in today.",A,,3 units,M,07:00PM,08:20PM,Porter Hall,A19,"Pandurangan, M (mpandura); Gogula, S (sgogula)",PIT,IPE,15,0,0,C
,98380,Student Taught Courses (StuCo): Practical Economics (STUCO: PRCTCL ECON),"While Economics is an applied science, it is oftentimes described in abstract terms and graphs. This class aims to show how Economics can be used in the real world to solve the biggest problems facing society. Students will learn about and discuss topics such as Game Theory, Behavioral Economics, Market Design, and the Nobel Prize. Students will better understand how to improve the world by making better decisions. No previous knowledge of Economics is needed.",A,,3 units,W,07:00PM,07:50PM,Porter Hall,A20,"Jia, L (lucasj)",PIT,IPE,10,0,0,C
,98387,Student Taught Courses (StuCo): The Schitt's Creek StuCo (STUCO: SCHITTS CREEK),"Schitt's Creek (2015-2020) is a Canadian comedy series that follows the struggles of the previously wealthy Rose family in the small town of Schitt's Creek. Over the course of 6 seasons, Schitt's Creek has been nominated for 172 awards, winning 64 of these. In this course we will watch various episodes from the show and discuss why Schitt's Creek has become such a cultural phenomenon. We will discuss topics such as LGBTQ+ representation, mental health, understanding others, perseverance, and effective comedy techniques. We will be watching episodes from every season of Schitt's Creek, so this course is open to everyone whether you have seen the entire show or haven't seen a single episode. COURSE FEE: Students must maintain a monthly subscription to either Hulu or Netflix throughout this course - EST $6-9/mo for 4 mos.",A,,3 units,T,07:00PM,08:20PM,Porter Hall,A19C,"Morrow, J (jmorrow); Subbiah, N (nsubbiah)",PIT,IPE,15,0,0,C
,98388,Student Taught Courses (StuCo): Introduction to English Syntax (STUCO: INTR ENG SYN),"In this course, we will learn about the syntax of English. Syntax is the study of the rules that dictate how words combine to form sentences in language. We will discuss the syntax of English both from a historical (diachronic) perspective, e.g.: the now-lost V2 word order of Old English which permitted such word order as ne sceal he noht unalyfedes don ¿He must not do anything unlawful, lit. not shall he nothing unlawful do¿ where the sentence begins with the negation ne ¿not¿, followed by the finite verb sceal ¿shall¿; and from a contemporary (synchronic) perspective, compare dialects spoken across various speaker communities, e.g.: multiple modal constructions such as We might can go up there next Saturday. where more than one modal verb (in this case might and can) appear in a single sentence, used in the Southern United States; the zero copula of AAVE (African-American Vernacular English), where certain forms of the copula be can be omitted in certain contexts, e.g. He an expert ¿He is an expert¿, but not others, e.g. *I driving to Amherst ¿I¿m driving to Amherst¿ (the asterisk * denotes ungrammaticality); imperatives in Belfast English, where the imperative verb can precede the subject, e.g. Read you that book! ¿You read that book!¿, whereas only the opposite word order is permissible in Standard English: You read that book! We will also compare the syntactic properties of English with those of other languages.",A,,3 units,T,07:00PM,08:20PM,Porter Hall,A18A,"Ozaki, S (sozaki)",PIT,IPE,30,0,0,C
,98389,Student Taught Courses (StuCo): Introduction to Nail Art (STUCO: NAIL ART),"With nail art, self-expression is right at our fingertips. Together, we will dive into not only how to paint various nail art designs, but we will also discuss the origins of nail art and past nail art trends. Each week, we will learn and practice a new design technique. By the end of the course, you will have your very own nail salon right at home. No prior nail painting experience is required. COURSE FEE INFO: Students are required to provide their two nail polishes, one nail art brush, one dotter (e.g. nail dotter, bobby pin, sewing pin), one makeup sponge, and nail polish remover.",A,,3 units,W,07:00PM,07:50PM,Porter Hall,126A,"Zhang, R (ritaz); Lee, S (suel2)",PIT,IPE,20,0,0,C
